 DATE  M=0    M=1   MINVAL(u_phi)
  2000.000      5.536      4.114   -16.694
  2001.000      5.867      4.219   -17.416
  2002.000      6.184      4.437   -18.337
  2003.000      6.442      4.859   -19.566
  2004.000      6.699      5.474   -21.175
  2005.000      7.102      6.122   -23.074
  2006.000      7.656      6.710   -25.092
  2007.000      8.311      7.288   -27.247
  2008.000      9.066      7.794   -29.413
  2009.000      9.882      8.275   -31.630
  2010.000     10.723      8.698   -33.768
  2011.000     11.480      9.086   -35.708
  2012.000     12.094      9.490   -37.456
  2013.000     12.557      9.937   -39.056
  2014.000     12.905     10.399   -40.505
  2015.000     13.184     10.786   -41.699
  2016.000     13.391     11.063   -42.565
